100000 200000 
38048 23089 812
25744 47005 415
45307 22928 8
13927 6395 171
37680 41188 223
47650 49034 853
39320 11014 824
36220 35609 978
34493 4864 860
37249 25353 863
9190 30891 58
27568 45537 517
7487 46156 97
18836 17736 613
12104 19884 598
24812 49203 468
66611 66612 0
5045 47497 74
30325 4792 409
31830 43265 22
1455 28034 974
19880 37690 746
25220 24396 579
91533 91534 0
42990 9884 194
22480 3595 407
44203 48701 604
3150 39393 758
16726 41086 504
39871 35601 410
16490 35779 330
12132 38930 454
29993 42139 858
29978 32454 112
36636 22630 136
3902 35032 65
25996 677 57
8035 28742 98
8777 3421 738
39438 18883 425
9427 45250 603
18995 40399 696
46395 17173 831
1159 10305 97
32493 47342 439
36679 26377 758
95019 95021 1
30279 36364 726
42485 27951 614
49343 26906 920
20847 41187 207
4144 44075 896
78147 78148 0
36360 4283 633
42703 13332 602
5400 1623 490
352 17762 656
44609 24530 350
5358 27372 48
85308 2 14680
43368 23767 469
3299 18599 45
9870 5771 479
38205 47643 377
1275 17438 483
16718 35562 877
32176 12771 541
2958 9505 22
45195 17642 786
24581 11506 871
36058 25032 986
73199 73201 1
17070 29787 946
9132 3864 445
13523 47516 465
28350 376 91
22189 15423 293
10960 20054 639
9817 18795 912
36331 47776 907
36114 28214 105
21971 32292 942
37736 39372 437
21491 28931 453
28413 40160 275
39801 28469 120
714 19630 727
39694 7866 805
44543 26603 320
13597 41859 116
27673 1461 635
28470 29055 504
25165 45123 164
93249 93250 0
80821 80822 0
16519 34300 544
35526 16839 987
18803 12242 213
40477 396 692
92862 2 7126
21329 44174 971
11444 39406 548
6086 5103 391
10560 2306 463
3485 27623 976
47023 15028 989
9726 34328 957
90769 90771 1
7640 7824 489
9480 8160 908
47376 25606 976
22161 11173 964
4972 3527 940
30986 2842 450
4446 15453 314
9015 30370 123
9467 29298 132
26255 27418 557
64846 2 35142
44783 18989 113
109 38010 585
17994 31394 99
48098 23879 671
26474 11790 446
34571 27752 821
45607 35268 502
43692 42901 602
22538 48294 448
22360 19553 783
43834 19128 37
4887 49123 599
12385 11714 142
35800 575 33
3685 7024 286
4017 36957 415
15706 41283 250
21897 14668 432
2248 11420 257
7049 18396 169
11918 41280 23
16422 32723 901
9050 1781 275
47764 17895 273
8742 45960 638
93461 93462 0
13321 35136 279
47070 23640 102
38344 13464 411
11748 10797 127
15764 29650 280
14720 30732 662
1212 11145 99
44303 47963 318
5427 30493 108
62017 62018 0
811 31659 113
39846 3771 110
31320 12418 913
26694 28165 218
27319 36727 479
31248 2494 623
6657 10026 233
37957 17180 385
3200 21537 900
20908 16889 456
23761 39079 791
77447 77448 0
96037 96039 1
47128 35609 163
35959 386 623
40312 42368 319
48706 3575 656
1389 39151 305
29180 6853 193
48454 28880 90
43746 22397 335
48776 36200 258
1842 27241 236
1261 23303 366
34620 28987 799
19535 20803 382
22616 26884 203
4540 36601 981
18385 40180 562
48979 36419 514
15362 20062 400
43354 32196 721
92719 92720 0
22124 7843 216
12225 2505 749
99613 99615 1
48155 28146 441
3079 510 947
7329 13760 142
38519 20379 418
22618 12699 995
23492 35075 177
36012 11157 868
955 21641 774
45456 13639 447
47311 33032 715
48053 5394 228
19849 7486 103
29594 21622 571
8645 43346 531
68650 2 31338
20751 35717 464
5335 49781 66
25031 19479 865
22175 10603 82
25869 12776 37
9654 25504 667
19126 33284 609
46142 46158 832
34353 13628 535
13524 24366 704
38660 21922 782
17327 11036 497
83705 83707 1
27555 38048 935
8320 35322 195
26169 11830 659
19190 21091 746
46179 39427 34
43151 14867 953
34505 30455 264
97361 97362 0
18664 2569 456
29342 10972 146
9938 8824 722
98103 98105 1
31288 4040 277
63317 63318 0
45046 26582 324
5157 40923 639
26091 23640 289
13524 11314 779
8846 8398 805
5630 29774 559
39047 36976 616
20782 47324 570
17452 6732 638
27696 3324 226
32773 48796 356
25599 29597 47
37596 34647 271
26486 32201 870
30153 30047 954
48537 41583 537
89878 2 10110
10848 36658 257
30700 33172 833
39220 23604 322
8297 2328 667
48222 47617 594
36458 29262 887
6642 7623 643
92229 92231 1
43070 39852 60
33847 22251 451
1175 23420 246
21658 27349 553
39107 4555 544
27564 42556 882
49177 16283 218
37846 23465 415
46952 23601 788
96893 96894 0
3608 37202 79
1741 47238 331
47979 48135 535
12879 2209 837
40117 4970 877
19973 22248 106
9269 21409 381
25636 40397 867
16607 40477 813
31404 18081 508
9206 39447 252
36043 29407 525
22079 7792 714
13400 29253 679
33894 49957 113
8171 42385 490
28705 41229 960
3799 11765 765
44516 35510 938
18426 2913 488
21572 11086 272
4954 23824 124
14873 6252 576
28975 2476 794
42855 33144 607
1037 38594 988
2244 45111 808
47827 30851 280
14899 1257 157
30898 32619 231
8224 30134 932
2 12404 72
20681 34752 433
33202 28647 568
9795 3631 162
930 37326 368
29435 8149 229
13688 15068 519
875 11566 857
46800 11738 725
10073 31831 633
20262 11530 39
74257 74258 0
38206 344 300
97085 97087 1
37493 41630 886
14116 48523 911
19100 32240 384
45833 34731 465
86469 86470 0
47960 31520 539
95377 95378 0
14940 46570 958
15783 21738 329
27974 16256 701
9981 21454 973
38119 32041 266
26105 39626 616
33093 41664 584
4122 39965 459
28743 7784 512
1675 47833 670
6798 29899 268
96415 96416 0
16189 34826 449
24178 30653 61
43540 7255 624
1527 253 547
31378 24153 83
34595 49459 696
25169 31940 802
41832 10167 382
29164 47364 570
23764 37865 26
34047 18252 940
48343 42980 310
7785 10502 399
9379 17118 996
90760 2 9228
2 19897 87
35235 6303 860
12057 821 715
42410 40653 687
7030 39478 341
91877 91879 1
37298 26351 196
6283 1552 217
96045 96047 1
7681 2812 602
47112 10504 127
5903 32797 726
11397 30361 713
2 23451 1360
16038 21213 577
7643 21427 423
23216 10014 132
45909 22581 628
26492 26961 926
23012 28519 499
1031 32580 632
46075 2921 20
16196 42568 657
39972 6551 885
28260 48901 206
6947 32098 359
13132 44794 858
559 421 107
10937 46215 990
40758 43377 389
32562 11260 378
40843 49340 983
3 16697 571
34738 31164 417
2 48086 488
12075 17744 878
8986 25493 965
18662 46655 413
27835 37808 201
540 6237 211
36656 19617 883
27328 35792 645
9901 15289 221
20291 33950 880
130 37402 756
34781 44513 623
40422 5746 509
5732 26578 643
19691 23860 562
41048 46226 32
36543 14612 154
37904 31656 517
7235 24088 445
32950 33075 53
38225 417 476
19073 44700 188
32262 24841 470
1633 33588 394
15470 8243 789
80721 80723 1
36514 37186 240
34847 34203 80
22061 9153 455
33097 41488 549
17437 39281 286
45077 38967 217
39724 15503 557
83454 2 16534
4038 8031 603
44739 33779 50
48416 2250 118
51017 51019 1
6350 21351 192
13465 23295 789
18869 7624 553
32770 8514 582
15385 25393 120
44127 32327 514
28068 44794 599
33470 18412 813
44234 30973 340
2 30781 269
22241 36538 169
13779 1735 157
3883 28733 440
22553 41751 37
36185 16748 217
9306 19726 768
12757 49324 38
90277 90279 1
47840 27057 288
38454 38819 978
29133 20459 837
1249 8930 467
14054 34987 339
16261 1080 615
25863 34649 503
16373 42625 444
30383 41785 107
40390 18772 329
36602 5576 551
40356 40621 782
7134 38259 238
58595 58597 1
35735 36794 771
16737 2418 832
33639 19948 771
1530 48272 259
535 45880 500
17570 14758 974
16844 16944 259
47806 49739 79
12008 19271 363
28925 20119 130
43173 9666 421
46989 31741 905
8998 49549 998
37104 15843 890
5227 46585 450
49160 33908 983
2975 11463 401
20075 35144 780
11429 12261 523
15897 12269 306
23006 16101 277
1287 16146 433
32307 17409 882
99841 99842 0
16943 43048 994
28062 36476 655
2 33164 698
36753 17023 735
44901 11953 856
20388 39624 751
40473 35898 540
39203 12401 860
38884 32739 73
14227 26079 232
16380 24236 969
36028 11622 578
27779 7863 41
81308 2 18680
36472 31873 592
18860 6200 91
36734 31406 747
11745 42559 844
45422 38139 615
13770 11626 19
30023 40022 240
38101 27870 296
98163 98165 1
48242 21097 454
21879 31005 532
26782 26202 996
18184 25089 951
9932 38713 890
39948 26294 556
44825 21973 837
2318 6062 785
35483 28580 917
2574 43725 158
9878 43023 973
3881 44356 493
27005 21743 474
43800 2116 558
45442 34234 138
48443 1194 68
38213 982 959
37926 26078 244
45932 38524 198
1095 15397 435
82463 82465 1
92453 92455 1
21136 8815 77
2041 27831 760
48079 47793 627
39649 38996 465
94235 94237 1
34320 30494 705
21888 7253 749
26263 15281 485
93387 93388 0
20536 8226 659
17369 33322 931
26679 24092 182
3912 46492 665
74039 74041 1
98036 2 1952
530 34843 157
46524 16672 14
23950 21275 348
18652 8604 856
45847 41164 772
19830 47000 403
2722 38917 871
19527 8268 408
48718 24776 675
2750 40389 596
82762 2 17226
33611 32947 398
41140 257 770
15724 23356 64
10998 36670 848
67450 2 32538
28282 14948 4
10965 13543 427
3819 12788 705
38394 20029 349
99346 2 642
15737 41119 407
15087 41091 307
18512 10484 93
3071 16376 931
38509 29539 20
30130 37085 39
4406 8220 663
86587 86588 0
45233 20151 193
13375 19035 550
11553 9530 567
28854 38897 764
46768 28666 369
1292 36421 98
2652 49395 682
14706 35290 278
865 5490 759
8779 23074 623
47249 46201 904
38525 23674 951
58224 2 41764
41803 47765 849
28943 16426 371
15163 719 818
3691 20635 69
86075 86076 0
31692 21899 584
49010 42390 141
16367 37149 50
18123 2242 748
27077 12704 595
2608 37562 271
9167 48209 290
35512 31336 110
34206 29756 981
12419 41835 827
25984 7963 86
85389 85390 0
49361 24619 743
30258 12167 125
40436 47614 409
49926 15043 251
39981 19721 728
13385 9428 965
20591 43145 29
9648 19346 80
23119 2676 86
28091 22239 801
91879 91880 0
33376 18280 318
11862 43601 653
14409 42104 564
47117 30230 287
14775 40736 152
89249 89251 1
17401 43728 52
6662 33656 28
78951 78952 0
25208 21254 960
40128 13262 318
52902 2 47086
70021 70022 0
45052 1500 923
18620 38467 606
30058 22143 771
37738 49290 48
11500 15411 978
12597 44254 563
98601 98602 0
26424 14442 110
11087 31174 852
38494 27360 551
17201 501 12
18517 9572 927
20457 46887 24
45801 8782 576
22194 29596 938
38399 34646 478
31376 396 3
38703 9757 228
12000 10017 773
48051 35407 617
37087 36634 987
9924 25956 947
72725 72727 1
31865 13156 540
42684 24847 797
7240 42502 593
12403 19017 573
39530 8918 253
21768 37407 622
10834 4728 78
25124 47550 638
16633 22174 231
14981 39781 522
21237 40969 236
31315 44153 941
41046 328 127
39607 45683 759
42370 16864 827
33291 16703 929
1140 33595 648
5728 31558 859
20295 44235 456
4200 30377 718
2560 45340 712
34802 40993 170
16209 21215 593
49447 15290 228
15533 7762 63
41371 37457 873
16126 26713 625
2108 26751 128
40167 1532 835
82843 82844 0
13721 7682 384
86819 86821 1
33060 22281 360
29363 31092 46
29464 37981 361
2571 5720 36
13924 38533 297
8846 26819 379
33196 8344 260
95918 2 4070
44153 30941 262
885 10119 238
97891 97893 1
34592 17495 933
46030 16900 708
37717 13132 330
40765 26342 246
41883 14868 383
85298 2 14690
14217 34538 717
45911 42106 355
27565 30939 793
26302 12639 346
23777 33096 626
38427 36828 250
80871 80872 0
21138 44604 893
38437 23574 610
22833 9219 142
35862 7057 635
28458 13962 224
46638 41882 825
61208 2 38780
90066 2 9922
34574 19384 975
37402 8881 897
98483 98485 1
20973 33181 389
27622 5956 383
4095 45913 45
98323 98324 0
5045 36240 880
23117 12503 421
10030 19044 232
14680 9360 116
17516 549 510
1209 40190 728
41882 37494 343
987 15201 415
26988 16343 68
76395 76397 1
24094 13114 785
27569 41817 367
31370 15674 143
42726 11369 207
5294 20081 300
31097 37242 59
33021 4506 558
47686 5786 76
42165 44578 821
32816 20862 232
10245 25941 984
40103 26508 872
46780 41126 129
7577 39221 897
38661 36059 250
49321 6448 496
15518 25354 393
35263 28858 760
49932 26808 407
26199 20171 329
30876 39572 594
9664 36809 493
12494 38542 751
18026 10485 787
43524 25370 297
7826 46167 647
46521 459 889
10886 7596 229
30399 22335 957
29230 37566 425
89909 89911 1
49858 47535 461
41940 42871 197
30035 31750 987
33570 23932 842
703 22247 787
35055 28446 912
27944 35175 878
49231 24930 783
26975 22869 499
20907 8622 942
11416 47178 17
24547 43617 404
43499 46579 179
46080 11231 360
28540 38714 616
84649 84650 0
19995 36968 537
91461 91463 1
35122 3893 603
96741 96742 0
70843 70845 1
89636 2 10352
48596 34238 283
48232 49110 823
8241 15615 435
15299 20530 182
17106 17518 171
11674 7775 234
5825 4931 260
49959 16346 725
17856 14198 92
807 19678 123
9997 3896 106
46779 16731 693
20437 18886 999
6782 7514 267
18859 13396 506
20385 46621 401
33970 24064 503
41183 48003 415
17570 28114 875
36384 40392 891
12702 25960 26
23600 9658 502
97907 97909 1
46088 15412 313
37227 3608 344
32090 44059 844
7583 10156 667
35760 5795 927
21009 26458 938
9450 48456 124
13615 45086 777
30573 24823 83
21572 23179 55
32724 35364 254
45076 26409 522
44462 39530 919
9042 20500 540
29777 47766 125
79929 79931 1
18127 26904 938
34996 8762 857
27649 3774 470
18304 49318 952
2 11124 1211
46040 23261 241
11224 29918 711
17450 42873 443
9129 12433 539
43088 48061 808
21004 11854 898
48170 27625 941
19083 33937 787
46389 33180 365
30383 49963 217
12526 9848 213
4249 39638 390
30882 35860 842
23633 34431 876
15844 6401 950
19169 37511 577
28376 22880 898
10784 627 702
11114 30766 884
36339 43417 453
28976 28964 833
31818 11475 257
90440 2 9548
95955 95957 1
48067 29243 307
7399 30306 105
32106 10928 913
21518 7824 196
3047 36873 295
20213 2308 562
48460 31532 720
30551 34460 362
6582 31676 228
86601 86603 1
13602 24600 872
29438 49104 18
8548 47282 855
48656 37951 167
38297 29895 374
9742 40051 51
6714 46121 548
9602 34280 741
37093 25158 189
43086 28427 264
5365 43660 440
21286 4713 681
35252 18382 338
25135 23050 453
38425 28737 118
1345 26499 95
12440 40408 1
31492 4806 874
19541 4032 976
35212 7835 445
24721 42636 646
18051 13140 611
26976 14698 285
46724 40333 424
40615 43258 146
39615 47915 315
40025 8087 193
13410 25534 12
35528 47200 902
22532 7512 74
12686 7943 93
49019 17686 682
13388 5663 304
32938 46702 963
36381 41708 987
30448 21482 818
67402 2 32586
28469 5463 743
20108 5364 29
12970 26313 454
20484 42537 800
41188 21019 262
11733 29272 465
74904 2 25084
91834 2 8154
82705 82707 1
2645 3458 328
11527 9598 662
21013 29481 335
67394 2 32594
97856 2 2132
28696 33030 653
29071 25167 372
7996 17778 623
47314 35817 182
8271 39802 499
4785 19782 307
36911 22334 162
20830 5630 904
6684 44006 224
41806 12823 640
9997 2554 941
43507 19175 516
4136 16982 663
49674 5600 63
45993 29393 822
10100 24377 628
39544 37665 778
56518 2 43470
1588 4975 302
3443 18975 341
90106 2 9882
30329 41216 200
10060 33814 811
43052 13071 744
40229 30410 20
19886 30110 305
43147 18853 695
30029 20705 241
46749 21474 117
21255 42494 175
265 33619 162
47577 49370 612
24104 21199 206
27057 20632 213
48639 31711 249
22571 49354 29
45773 30669 599
45908 38233 598
2371 28243 172
19948 19478 953
96047 96048 0
7521 47786 501
16259 40720 507
41086 38462 383
27435 13890 495
11982 8042 75
80898 2 19090
45785 19987 47
3926 30848 857
15581 7582 957
31832 40672 611
32987 29576 226
86833 86835 1
36006 4351 178
39948 46025 864
63650 2 36338
17996 20108 500
23592 13235 83
48844 7909 601
15880 26207 511
5507 3248 380
39998 2035 338
5292 16448 948
14048 8138 597
34153 29223 462
36900 24930 660
10433 8880 919
40765 15286 816
48105 1799 133
2583 3415 188
11264 14098 838
231 29958 367
25018 19876 59
48965 9299 148
28468 40224 223
2 46011 258
48782 12208 358
35757 44132 637
32792 21433 458
49585 31326 683
27698 16119 518
12036 23337 141
13258 38606 194
3581 48511 432
2269 21865 602
14453 13894 709
47030 5839 474
23714 26569 837
6586 47864 142
91620 2 8368
24412 44577 969
89027 89028 0
37810 7384 430
31669 2993 50
16747 6659 319
47613 40552 432
42480 43167 366
42007 36751 804
69948 2 30040
19560 10336 382
16232 20616 543
38202 41751 683
25102 29734 943
22685 22241 311
46623 3044 945
9984 35775 715
46914 14298 844
79895 79896 0
11782 36280 661
16818 2991 114
14594 32974 736
18108 13058 876
45894 40385 308
15505 40898 95
41842 10641 755
5676 42067 574
2 37393 420
11936 11481 277
25279 12245 363
4713 25564 205
45961 45367 25
22778 43359 60
1171 4069 272
27558 40398 930
25146 6441 141
29492 24154 894
18261 43231 898
38444 32363 841
6319 44884 349
46658 6800 324
44158 31098 190
47465 17380 1
48692 9459 309
6516 6208 275
48897 8187 323
29462 34454 608
12562 23347 428
21385 36962 128
10370 2730 439
35314 47741 444
5480 20216 774
8869 36745 58
30889 16756 473
36831 18843 38
27620 23957 809
44015 4949 867
12380 38867 759
32077 33699 624
9193 6747 157
33470 6952 832
5966 43304 59
36675 20648 891
29119 31454 617
80810 2 19178
25598 38682 201
34854 25825 164
20027 8289 46
26820 4673 919
31303 43599 855
48980 47541 330
10944 21558 951
86623 86625 1
15436 3169 767
45789 42327 24
31046 20324 245
14580 14502 405
40691 44094 72
47105 44536 934
35676 43561 631
34919 13332 817
19976 9972 79
43607 31467 404
32359 13448 38
12563 25599 76
20781 9891 543
17344 2700 384
45327 280 386
26648 20167 233
30219 9675 68
741 30227 437
27686 9668 399
24343 16464 782
39132 1940 864
35699 20328 20
94225 94226 0
8938 38002 370
43367 2604 272
3842 32496 756
12531 26475 977
15309 14966 584
17531 43887 972
41989 4521 360
33563 9140 323
16043 35370 808
19522 19515 874
17644 19829 497
16391 14092 84
40778 43922 663
41355 8460 336
29007 26428 910
9500 8987 547
1161 1893 360
37377 6545 720
33881 11683 813
41022 8280 332
20372 16669 392
19917 7342 581
13170 38989 490
17061 8366 779
48732 2412 675
21675 17597 111
2 27867 179
77271 77273 1
25557 24806 188
13440 2246 524
30124 42762 396
36609 11045 257
7754 38602 342
11543 13120 860
46245 15970 538
11474 30083 395
5780 2777 501
49179 14255 37
14061 10219 683
7185 47440 346
45322 2714 654
10987 604 526
5652 16068 478
22855 872 131
4464 46820 705
38646 23347 151
36043 10775 462
22564 28941 73
42714 36102 818
32955 8946 167
96355 96357 1
46454 26080 808
45161 21185 238
29762 35774 515
21005 22562 205
183 34619 221
14104 15870 821
12042 11021 867
30954 2185 805
8761 49452 994
7615 3321 230
2 15368 428
9826 9462 234
36868 1499 873
734 7052 961
91499 91500 0
30496 29833 769
14572 48622 649
3236 13421 39
48934 44350 949
32054 13828 673
7794 3560 442
35017 10370 417
15314 22490 232
1777 4335 5
42911 20514 798
31698 37351 164
4507 5490 381
43509 30678 379
37751 45560 513
43197 34085 872
27288 33131 34
442 32801 920
14797 22128 346
28370 37027 840
39239 33868 303
19663 10594 818
47589 1799 709
7243 30943 608
42766 19957 883
13634 16396 705
15524 32404 437
3566 34249 313
2983 8038 347
22138 8289 278
9183 40339 121
99739 99741 1
26091 43900 796
4405 48340 657
2939 21592 406
26774 41487 682
39407 42195 812
42680 37539 952
28539 30992 921
49141 25667 165
31740 11501 636
4389 47791 644
11455 19585 767
97714 2 2274
33061 19662 320
14147 48887 401
45439 18002 924
34095 49336 421
36762 26987 968
89455 89457 1
28298 36369 292
31317 159 492
9251 32866 538
44664 10791 776
49301 38681 824
24607 39857 37
27760 24989 263
11221 42334 8
67401 67403 1
23006 46999 133
46824 26381 708
13330 16989 697
31148 38090 525
34271 25691 686
9147 46746 476
11926 35278 354
15173 39378 195
19352 33773 493
2 49309 1100
40352 44965 841
43104 15193 63
17323 21900 395
41367 2465 28
